filename,Propose EDA,Clarity Score,Analyze EDA Reason,Propose EDA Reason,Clarity Score reason,Targets,Analyze EDA,Design Targeted EDA,EDA,Include EDA,Design Targeted EDA Reason
IPSJ-EC2024020.txt,False,1,利用時にどのような感情反応が喚起されるかについての言及や分析がない。,ゲーム接続の目的は目標意識と身体動作の共有によるコミュニケーション促進であり，ユーザの感情状態を意図的に操作する設計ではない。,感情誘発のメカニズムや狙いが論じられておらず，EDAの要素が全く見られない。,,False,False,,False,この論文ではデザイン要件として特定の感情反応（例：興奮や一体感など）を明示的に定義していない。
IPSJ-EC2024026.txt,False,1,評価検証や成果の記述において、利用時に引き起こす感情的反応についての言及が一切ないため。,提案内容は彩色工程の効率化と時間短縮を狙った技術的アプローチであり、ユーザーの感情状態への影響を意図していないため。,感情誘発やユーザーの感じ方に関する記述はまったくなく、EDAの要素が存在しない。,,False,False,,False,この論文は自動彩色手法による労力削減を目的としており、ユーザーの感情体験を設計要件として明確に定義していないため。
IPSJ-EC2024018.txt,False,1,論文中に意図的に喚起すべき感情を議論する箇所はなく、ユーザーの感想として「楽しい」「気持ちが良い」とのテストプレイ時コメントがあるものの、期待される感情応答について体系的に論じられていないため。,提案システムの目的は視覚機能と打撃能力のトレーニングであり、ユーザーの感情状態を意図的に操作・誘発することを狙ったものではないため。,EDA（感情誘発機構）は研究の主題ではなく、設計要件にも議論にも含まれていない。,,False,False,,False,本研究は野球の打撃能力やスポーツビジョン向上を目的としており、ユーザーの感情体験（楽しさや達成感など）を設計要件として明示していないため。
IPSJ-EC2024004.txt,True,3,展示評価において，子供を中心に「止めずに回し続ける」「悔しがって再挑戦する」などの行動や，モチベーション向上・楽しさの定性的評価を報告している．,本デバイス＋ゲームによってユーザの運動モチベーションを喚起し，継続的に楽しませることを意図している．,ユーザモチベーションや楽しさを誘発することは論文全体の主題ではあるが，ターゲットとなる具体的感情があいまいであるため，EDAは主題であるものの不明瞭と言える．,content user,True,False,運動を継続的に行う，また正しく効果的に行うには，モチベーションの喚起や，目標の設定，動きの観察と修正を行うことが望ましい．;より多くの人々に新しい体験や，個々の事情にそった体験を提供でき，また運動のモチベーションとなりうる形態について考えた．,False,本稿では「モチベーションの喚起」や「新しい体験の提供」を掲げているが，その感情体験（楽しさや達成感など）が開発要件として具体的かつ明確に定義されてはいない．
IPSJ-EC2024020.txt,False,1,"There is no mention of expected user emotional reactions (such as joy or immersion), and the effectiveness of the game is discussed only in terms of communication facilitation.","It is not aimed at directly manipulating or changing users' emotional states, but rather at enhancing the quality of experience through shared goal awareness and physical movements across different games.","There is no discussion of emotion induction or feeling design/analysis, and no elements of EDA are recognized.",,False,False,,False,"In this paper, emotional and affective responses are not explicitly specified as design requirements, focusing instead on mechanics of game experience such as shared experiences and communication promotion."
IPSJ-EC2024026.txt,False,1,評価と検証の段階では、感情反応やユーザー体験の感覚について言及がなく、期待される感情効果の記述もないため。,提案された手法は作業時間の短縮や精度の向上を目指しており、ユーザーの感情状態を意図的に操作しようとするものではないため。,感情誘発や心理的効果に関する記述が一切なく、純粋に技術的なアルゴリズムの提案と評価に終始しているため。,,False,False,,False,この論文は色彩工程の自動化や労力削減などの技術的目的に特化しており、ユーザーの感情反応を設計要件として明示していないため。
IPSJ-EC2024018.txt,False,1,論文中で使用時にユーザーがどのような感情反応を抱くことを期待しているかについての言及がないため。,提案の目的は主にKVA動体視力や眼と手の協応動作など視覚機能のトレーニングであり、ユーザーの感情状態を意図的に操作・誘発することを狙っていないため。,EDA（感情誘発）は本研究の主題ではなく、一切扱われていないため。,,False,False,,False,本論文では訓練システムの設計要件としてユーザーの感情反応（例：楽しさ、達成感、没入感など）を明示的に定義していないため。
IPSJ-EC2024004.txt,True,2,展示評価では、論文はユーザーの反応や関与度、ゲーム設計がどのように動機付けを喚起し、プレイへのハードルを下げたかについて議論しており、参加者が経験した感情の分析を示している。,著者は、フープとデジタルゲームを組み合わせることが、運動の動機付けや魅力的な経験を提供する手段となり得ると明確に述べており、ユーザーの動機付けの状態に影響を与える意図を示している。,動機付けや関与については議論されているが、主な焦点はハードウェア、センシング、技術的評価にあり、感情反応の設計や分析を主要なテーマとしていない。,ゲームプレイヤー;ユーザー,True,False,運動のモチベーションを喚起しうる形態;運動継続のモチベーション;モチベーションの喚起;ゲームにより運動などのモチベーションを喚起するゲーミフィケーションの好例,False,この論文ではデバイスの特徴と応用について述べているが、具体的な感情反応（例：喜び、達成感）を具体的な設計要件として明示していない。一般的な目標である「新しい体験」や「動機付け」について言及しているだけであり、明確な定義はない。
IPSJ-EC2024020.txt,False,1,論文内において、使用時にどのような感情反応を引き出すことが期待されるかについての議論や記述が見られない。,提案手法は異なるゲーム間で共通のタスクと身体動作を保持して対戦体験を生むことを目的としており、ユーザーの感情状態を意図的に操作・誘発することを目指していない。,感情誘発メカニズム（EDA）についての言及や論点が一切なく、考察の対象にもなっていない。,,False,False,,False,本論文ではゲームの目標意識や身体動作の共有によるコミュニケーション機会の増大を謳っているが、ユーザーにどのような感情を抱かせるかをデザイン要件として具体的・明確に定義していない。
IPSJ-EC2024026.txt,False,1,論文には、システムがユーザーにどのような感情や感覚的反応を引き起こすことを期待しているかについての記述がありません。,提案されたコンテンツ（自動色付けシステム）は、アニメーターの労力と時間を削減することに焦点を当てており、ユーザーの感情状態に影響を与える意図はありません。,この論文には、感情や感覚的反応についての議論がなく、EDAに関する記述も一切ありません。,,False,False,,False,この論文は、技術的および性能の目標（精度、処理時間、手動作業の削減）を定義していますが、設計要件においてターゲットとした感覚的反応や感情状態を具体的に示していません。
