Clarity Score,Analyze EDA,Propose EDA Reason,Design Targeted EDA,Analyze EDA Reason,EDA,Design Targeted EDA Reason,Target,Targets,filename,Clarity Score reason,Propose EDA
1,False,この内容は、ゲームプレイのメカニクスを調整して協調的なプレイとコミュニケーションを強化することを目的としており、ユーザーの内部感情状態を意図的に影響したり変更したりすることには向いていません。,False,この論文はゲームメカニクスや共有体験（例えば、同期された動作や目標を通じて）について論じていますが、ユーザーに期待される特定の感情的反応や感情反応を特定したり分析したりしていません。,,この論文は、デザイン要件の一部として具体的な内部感情反応（例えば、興奮や達成感、または類似の感情状態など）を明示的に定義していません。ユーザーの感情状態を直接的にターゲットにするのではなく、共有された認知の目標（目標意識）と身体的動きの保持に焦点を当てています。,,,IPSJ-EC2024020.txt,3つのEDA条件（明確に定義されたターゲット感情反応、ユーザーの感情状態に対する意図的な影響、期待される感情の喚起についての議論）が満たされていないため、この内容は定義されたEDAsを含んでいません。,False
1,False,内容はアニメの着色プロセスでの手作業の負担を減らすことを目的としており、ユーザーの感情状態に意図的に影響を与えようとしているわけではありません。,False,この論文では、コンテンツに対してユーザーが反応することが期待される感情反応についての議論はありません。,,この論文では、設計されたユーザーの感情反応について特に言及されておらず、設計要件は特定の感情体験を対象とするのではなく、技術的およびプロセスの効率に焦点を当てています。,,,IPSJ-EC2024026.txt,EDAはこの論文では議論されたり設計要素と見なされたりしておらず、内容は技術的に焦点が当てられ、ユーザーの感情を引き起こすことには重点が置かれていません。,False
1,False,いくつかのテストプレイのフィードバックには、「楽しい」やボールを打ったときの満足感のような反応が言及されていますが、これらは意図的に設計された感情的なターゲットではなく偶発的な結果です。,False,この論文は、コンテンツがどのような感情反応を引き起こすことを期待しているのかを主要なデザイン目標として明示的に議論していません。焦点は、身体的なパフォーマンストレーニングと技術的フィードバックにあり、ユーザーの内部感情状態に影響を与えることではありません。,,この論文は、VRを使用して野球における視覚運動スキルを向上させるためのトレーニングシステムの開発に焦点を当てています。開発者によって明確かつ曖昧でない形で設定された特定の感情反応（喜び、興奮、リラックスなど）をデザイン要件として定義していません。,,,IPSJ-EC2024018.txt,コンテンツは感情反応を主要なデザインのトピックとして扱っていないため、EDAは意図的に埋め込まれていないか、またはデザイン要件として詳述されていません。,False
2,True,特定の感情が設計目標として明示的に定義されていないにもかかわらず、コンテンツは明示的にユーザーの運動へのモチベーションを向上させ、ゲームプレイ中のエンゲージメントを高めることを目指しています。このようにして、ユーザー自身の感情状態（つまり、モチベーション、楽しさ、遊びの感覚を高めること）に意図的に影響を与えようとしています。,False,この論文は、運動をより楽しいものにし、利用の障壁を下げるといった期待される体験効果について議論し（例：ゲームプレイ中のユーザーの自然なエンゲージメントと反応）、展示からの観察データを報告しています。ただし、特定の感情の変化についての詳細な分析には至っていません。,,この論文は、Connected Hoopデバイスの技術的デザイン、操作、およびアプリケーションを主に説明しています。ただし、設計要件において、開発者によって明確に定義された明示的なターゲット感情応答（「達成感」、「楽しさ」、「エンゲージメント」などの正確な意図された感情）は明確に指定されていません。,,コンテンツユーザー,IPSJ-EC2024004.txt,コンテンツは運動を促進し、楽しい体験を作り出すことでユーザーの感情に影響を与えることを目的としているものの、期待される感情応答は設計要件の一部として明確にまたはあいまいに定義されていません。その結果、EDAの明示的な議論は部分的なものにとどまっています。,True
1,False,内容は、ゲーム間の共通点（目的意識と身体動作）の保存に焦点を当て、プレイヤ間の操作同期や相互作用の促進を意図しているが、ユーザの内面的な感情状態に直接作用するような仕組みが明示されているわけではない。,False,論文内で、利用時に誘発される感情反応について具体的な記述や議論はなく、ユーザがどのような感情体験を得るかを詳細に分析している部分は認められない。,,論文では、プレイヤ同士の目標意識や身体動作の共有によってコミュニケーションを促進しようという狙いはあるものの、ユーザがどのような感情（例：達成感、連帯感など）を具体的かつ明確に体験するかについては、開発者による明示的な設計要件として定義されていない。,,プレイヤ,IPSJ-EC2024020.txt,全体として、ユーザの感情状態に直接影響を与えることを目的とした設計要件や、その結果としての感情体験が具体的に述べられていないため、EDAとは認められない。,False
1,False,コンテンツの目的は、アニメ制作における着色プロセスを自動化することです。ユーザー自身の感情状態を操作または影響を与えるための意図やメカニズムは表現されていません。,False,この論文では、ユーザーに期待される感情反応がどのようなものであるかについて議論されていません。提案されたシステムの技術的評価とパフォーマンス指標に中心を置いており、ユーザーの感情への影響は考慮されていません。,,この論文には、ターゲットユーザーの感情反応を定義する明示的な設計要件は含まれていません。その焦点は、アニメの着色プロセスにおける手作業を減らすための技術的手法にあり、ユーザーの特定の感情的状態を引き出すことにはありません。,,,IPSJ-EC2024026.txt,論文にはエンターテインメントデザイン資産についての言及や、感情を引き起こすデザインについての議論はありません。トピックは厳密に技術的であるため、EDAに関連する議論は存在しません。,False
1,False,一部の参加者のフィードバックには「楽しい」や「気持ちが良い」といった感情が言及されていますが、これらはシステムデザインにおける意図的で定義されたターゲットではなく、偶発的な結果です。,False,この論文では、コンテンツの使用から期待される感情反応の種類について、主なトピックとして議論していません。前もって指定された感情状態を喚起することに明示的に焦点を当てることなく、トレーニングシステムの技術的およびパフォーマンス的な側面を詳細に説明しています。,,この論文では、明示的なデザイン要件としての感情反応を特定していません。ユーザーの感情状態を直接調整するのではなく、視覚トレーニングを通じて野球のパフォーマンスを向上させることに焦点を当てています。,,,IPSJ-EC2024018.txt,コンテンツはトレーニングとパフォーマンスの向上に中心を置いており、感情的な反応は二次的なもので、デザイン要件として明確に定義されていません。したがって、明確なEDAメカニズムは中心的なデザイン要素として組み込まれていません。,False
2,True,コンテンツは、ユーザーの感情状態に明示的に影響を与えることを目指しており（例：楽しさ、モチベーション、エンゲージメントの促進）、新しいフラフープコントローラーを使用したゲーミフィケーションとインタラクティブなプレイを通じて実現されています。,False,この論文は、評価結果とユーザー行動の観察（例えば、子供たちがゲームとどのように相互作用し、最初の困難を克服するか）について論じており、期待される感情的影響を示唆しています。しかし、対象とされている具体的な感情は、設計成果として明示的には列挙されていません。,,この論文は、デバイスとゲームを使用して運動を促進し、ゲーム体験を向上させることについて論じていますが、特定の感情反応を設計要件として明確に指定していません。設計要件は、より技術的かつ運用的な方向に偏っています。,,コンテンツユーザー,IPSJ-EC2024004.txt,コンテンツは明確に感情的反応を引き起こし、ユーザーのエンゲージメントを向上させることを目指していますが、意図された感情反応は設計要件として明示的に定義されていません。これにより、中程度のスコアとなります。,True
4,True,ゲームデザイン自体が、視聴者の感情状態（We-mode、すなわち共同主体性や一体感）に直接働きかけ、意図的にその感情を誘発することを目的としているため。,True,論文中では、視聴者が『私たち』として一体感や達成感を得る仕組みや、そのために必要な要素（目標の一致、貢献のフェア感、相互調整、同調行為）が詳細に議論されている。,視聴者全員が『私たち』として達成感や配信者とのつながりを得ることができるゲームの実現を目指す。;視聴者全員の目標は、できるだけ早くロボットをゴールへたどり着かせることであり、一体感を感じさせる。;参加者全員が『私たち』としてゲームに影響を与えたと感じられることが示された。,本ゲームは、視聴者が単なる個人ではなく『私たち』として、達成感や配信者とのつながりを感じることを目標としており、具体的にその感情体験をデザイン要件に盛り込んでいるため。,,視聴者,IPSJ-EC2024037.txt,本論文ではWe-modeの感情体験がゲームデザインの核心要素として明確に定義され、その実現条件や期待される体験が具体的に論じられているため、EDAとして非常に明瞭かつ中心的なトピックとなっている。,True
4,True,実験デザインの核心として、版権アバタと標準アバタの比較により、ユーザの緊張や羞恥の軽減という感情状態の変化を積極的に誘発し、その効果を検証することを目的としているため。,True,論文内でダンス中に感じる緊張や羞恥という具体的な感情反応について、アンケートや実験結果を通して評価し、またその背後にあるプロテウス効果を議論しているため。,VRアバタを着用してダンスを踊る際に感じる緊張や羞恥;自身の外見からかけ離れたキャラクタのアバタを着用することで，そのキャラクタになりきっている感覚,本論文では、VR空間でのダンス実験において、ユーザの緊張や羞恥という感情状態に注目し、アバタの変身感を介してこれらの感情がどのように変化するかを明確な評価軸として設定しているため。,,content user;演者役,IPSJ-EC2024024.txt,EDAsとしての緊張や羞恥の感情が論文の主要な評価対象・議論対象となっており、デザイン要件として明示され、意図的な感情変化の誘発およびその解析が行われているため。,True
2,False,このシステムはユーザーの動きに基づいたインタラクティブな体験を提供しますが、ユーザーの感情状態を故意に変えることを目的とした明確な意図や設計要件はありません。,False,この論文では、ユーザーに引き起こされることが期待される具体的な感情反応について議論や分析が行われていません。感情的効果ではなく、技術的な側面とシステムの性能に関する議論が中心となっています。,,この論文では、没入感のある喜び、興奮、または畏敬のような具体的な感情反応を設計要件として明示的に定義していません。デザインは、明確に定義された感情的ターゲットではなく、インタラクティブな視覚音響効果のための技術的実装に焦点を当てています。,,コンテンツユーザー,IPSJ-EC2024056.txt,コンテンツはEDAsを明確な焦点としていません。インタラクションが提供されているにもかかわらず、狙いとする感情反応の明確な仕様がありません。したがって、EDAsは明確に定義された主要なトピックではありません。,False
