file_path,要件1,要件2,要件3,hasEDA,top_tokens_要件1,top_tokens_要件2,top_tokens_要件3
112-picture-hunter.txt,1.000,1.000,1.000,1.000,没入;感;イリュージョン;面白;感覚,納得;満足;没入;感性;感,実現;仕様;ため;外部;Text
108-encourge.txt,1.000,1.000,1.000,1.000,ユーザ;継続;意欲;モチベーション;本システム,具体的;高める;言及;継続;意欲,用意;フィードバック;表現;ユーザ;分析
304-auto-paint.txt,0.000,0.000,0.000,0.000,目的;User;削減;彩色;い,User;楽し;言及;一切;ない,仕様;ため;インターフェース;情動;時間
107-super-chat.txt,1.000,1.000,1.000,1.000,達成;感;時;投げ銭;体験,具体的;存在;達成;感;論文中,DualSense;仕様;ため;外部;Start
109-yuruyaka.txt,1.000,1.000,1.000,1.000,発言;緊張;感;自発的;参加者,生じ;緊張;感;言及;動き,BLE;実現;制御;仕様;外装
104-dying.txt,1.000,1.000,1.000,1.000,瀕死;感;目的;プレイヤ;ため,瀕死;没入;感;ため;言及,仕様;方向;詳細;移動;ため
105-attack-anim.txt,1.000,1.000,0.800,0.800,より没入;体験;提供;インタラクティブ;感,体験;没入;感;おり;論文中,UDP;通信;仕様;ため;外部
201-etable.txt,1.000,1.000,1.000,1.000,視点;驚き;変化;提供;インタラクティブ,驚き;論文中;生み出す;インタラクティブ;表現,レンズ;屈折;率;ピッチ;曲率
110-vr-common.txt,1.000,1.000,1.000,1.000,友人;オン;体験;ワイワイ楽しむ;感,没入;感;具体的;いっ;言及,没入;感;仕様;ため;外部
103-onomato.txt,1.000,1.000,0.800,0.800,おり;楽しく;オノマトパーティ;ゲーム;楽し,楽しく;遊び;楽し;収集;ゲーム,一言;秒;30;仕様;説明
101-VRavater.txt,1.000,1.000,1.000,1.000,緊張;軽減;羞恥;アバタ;ダンス,論文中;羞恥;緊張;軽減;ため,Oculus;スルー;3;パス;Quest
111-gun-duel.txt,0.600,0.000,0.200,0.000,弾か;触覚;目標;いう;銃,楽し;驚き;具体的;情動;言及,仕様;ため;噴射;詳細;ユーザー
303-hyakunin-isshu.txt,1.000,0.800,1.000,0.800,コミュニケーション;体験;機会;共通;通じ,コミュニケーション;促進;体験;共有;論文中,具体的;オブジェクト;タイミング;一致;位置
302-baseball.txt,0.000,0.000,0.000,0.000,目的;本システム;能力;向上;打撃,楽し;設計;システム;目標;ユーザー,要件;仕様;ため;達成;演出
106-jam.txt,1.000,0.000,1.000,0.000,おり;体験;提供;インタラクティブ;演奏,具体的;楽し;驚き;抽象的;いっ,セット;生成;タイミング;リアル;データ
102-we-mode.txt,1.000,1.000,1.000,1.000,生起;つながり;配信者;達成;感,具体的;つながり;配信者;達成;感,同調;一致;mode;目標;行為
202-text-com.txt,0.800,1.000,1.000,0.800,表現;感情;絵;明示的;ため,ニュアンス;表現;感情;印象;ため,形状;ため;キーボード;制御;強弱
100-gabreco.txt,1.000,1.000,1.000,1.000,視聴者;あふれる;提供;楽し;ジャングルバスオンラインツアー,いっ;あふれる;楽し;臨場;感,具体的;臨場;感;撮影;仕様
203-haptics.txt,0.200,0.400,0.600,0.200,向上;楽し;目標;い;驚き,触覚;ため;具体的;楽し;心地よ,仕様;ため;外部;Oculus;変化
301-connected-hoop.txt,1.000,1.000,0.800,0.800,体験;運動;提供;喚起;モチベーション,楽しめる;論文中;楽し;情動;環境,仕様;ため;HID;インタフェース;Bluetooth
204-taleshaper.txt,0.400,0.800,0.800,0.400,鑑賞者;人物;ため;操作;目標,不安;動き;心;好意;度,エンベロープ;仕様;ため;外部;o
